,i,j,w
203,22,16,4.38289821147919
204,22,17,7.3136619925499
205,22,18,137.632858902216
206,22,19,122.657115548849
207,22,20,241.134191185236
208,22,21,348.288052737713
209,23,0,15.453284829855
210,23,1,1.99333864450455
211,23,2,8.21195697784424
212,23,6,77.6233321428299
213,23,7,27.6196654140949
214,23,8,13.6191748678684
215,23,9,10.9623593986034
216,23,10,4.56599017977715
217,23,11,22.221509039402
218,23,12,13.9058343470097
219,23,13,24.7719225585461
220,23,14,5.12524509429932
221,23,15,678.961371392012
222,23,16,397.259208738804
223,23,17,45.0405330359936
224,23,18,29.8150659203529
225,23,21,0.594332098960876
226,23,22,2.57750636339188
227,24,0,1.18639034032822
228,24,1,0.958286643028259
229,24,2,1.777772128582
230,24,6,10.6151226460934
231,24,7,20.7047165632248
232,24,8,13.0103731155396
233,24,9,2.49008631706238
234,24,11,8.9733664393425
235,24,12,19.8498221635818
236,24,13,81.1272873580456
237,24,14,54.2799395620823
238,24,15,189.214112043381
239,24,16,1405.16015657783
240,24,17,1950.8656976223
241,24,18,882.700218081474
242,24,21,31.1006866693497
243,24,22,1.48513448238373
244,24,23,982.433562159538
245,25,0,0.809294700622559
246,25,2,6.76201516389847
247,25,6,36.3763717114925
248,25,7,48.5864733457565
249,25,8,68.8770143687725
250,25,9,7.30556991696358
251,25,10,4.8534075319767
252,25,11,27.6644988656044
253,25,12,42.694509267807
254,25,13,57.5119277834892
255,25,14,21.0609963238239
256,25,15,148.644355744123
257,25,16,63.5481445789337
258,25,17,6.58711871504784
259,25,18,9.84178966283798
260,25,20,1.36685025691986
261,25,22,9.78943765163422
262,25,23,120.183172464371
263,25,24,365.435491859913
264,26,0,9.08980193734169
265,26,1,5.11625123023987
266,26,2,8.57019022107124
267,26,6,59.8433566093445
268,26,7,22.0629134774208
269,26,8,24.2027150690556
270,26,9,10.7626446187496
271,26,10,3.80132478475571
272,26,11,22.9450868070126
273,26,12,33.6648382842541
274,26,13,34.9190863966942
275,26,14,8.53380066156387
276,26,15,109.314911544323
277,26,16,16.6933144330978
278,26,17,24.8803379535675
279,26,18,40.8981444835663
280,26,20,1.35960483551025
281,26,21,0.38101252913475
282,26,22,4.84996798634529
283,26,23,557.019880592823
284,26,24,393.915208011866
285,26,25,682.405906140804
286,27,0,1.04201328754425
287,27,1,1.1188371181488
288,27,4,0.397637009620667
289,27,6,1.10393038392067
290,27,7,9.14124962687492
291,27,8,17.2149110734463
292,27,9,2.75632092356682
293,27,10,1.0754200220108
294,27,11,4.96861523389816
295,27,12,28.032148629427
296,27,13,113.905000478029
297,27,14,41.0979623496532
298,27,15,24.1045363545418
299,27,16,264.564057439566
300,27,17,282.795666724443
301,27,18,433.021449357271
302,27,19,0.318219274282455
303,27,21,18.5740156769753
304,27,22,31.2178110778332
305,27,23,39.2369415163994
306,27,24,1398.41604986787
307,27,25,495.648785024881
308,27,26,186.441276192665
309,28,0,3.66155782341957
310,28,1,1.76759621500969
311,28,2,0.410646706819534
312,28,6,2.23074516654015
313,28,7,9.49045073986053
314,28,8,12.9744071960449
315,28,9,1.97846388816833
316,28,10,0.554451465606689
317,28,11,3.55999130010605
318,28,12,11.0893338024616
319,28,13,113.962133258581
320,28,14,80.2361921072006
321,28,15,13.8075758218765
322,28,16,206.6675131917
323,28,17,262.71186953783
324,28,18,28.6677792966366
325,28,19,0.647965371608734
326,28,20,0.366103738546371
327,28,21,2.88074713945389
328,28,22,118.949291884899
329,28,23,7.92240026593208
330,28,24,479.709245979786
331,28,25,239.90475744009
332,28,26,113.46288049221
333,28,27,1638.08000598848
334,29,0,4.28335358202457
335,29,1,3.02031713724136
336,29,2,3.79694047570229
337,29,3,1.45829355716705
338,29,4,0.38655623793602
339,29,6,3.03313380479813
340,29,7,3.03926771879196
341,29,8,3.61293295025826
342,29,9,1.50375570356846
343,29,11,0.574414491653442
344,29,12,2.90328043699265
345,29,13,45.6445704698563
346,29,14,53.1913106441498
347,29,15,3.37076914310455
348,29,16,25.8458182513714
349,29,17,29.3814807534218
350,29,18,2.77000749111176
351,29,19,0.971872538328171
